id,dia,horario,texto_original,texto_limpo,sentimento,prob_positivo,prob_negativo,prob_neutro,likes,retweets
2056545583268028468,18/05/2026,22:20,a isabel teixeira tem muito olhar de psicopata amo ela #QuemAmaCuida,a isabel teixeira tem muito olhar de psicopata amo ela,POS,0.9574,0.006,0.0366,0,0
2056545579933577356,18/05/2026,22:20,isabel teixeira e antônio fagundes arrasando juntos #quemamacuida,isabel teixeira e antônio fagundes arrasando juntos,POS,0.9883,0.0019,0.0098,0,0
2056545579539247425,18/05/2026,22:20,"""Olha, fiquei até arrepiada só de ouvir essa palavra. POBREZA. Se fui pobre, eu nem me lembro..."" (Pilar) 

#Quemamacuida

https://t.co/RXAJEVaVz0","""Olha, fiquei até arrepiada só de ouvir essa palavra. POBREZA. Se fui pobre, eu nem me lembro..."" (Pilar)",POS,0.5769,0.2354,0.1877,0,0
2056545571490472012,18/05/2026,22:20,"Pedrinho tá militando demais né? 
#QuemAmaCuida",Pedrinho tá militando demais né?,NEG,0.0385,0.6659,0.2957,2,0
2056545569439387986,18/05/2026,22:20,"toda família tem um povo sanguessuga

 #QuemAmaCuida https://t.co/TrExbf7fRg",toda família tem um povo sanguessuga,NEG,0.0238,0.515,0.4612,3,0
2056545566989898155,18/05/2026,22:20,"a novela é do walcyr e eu já achei que o mendigo ia esfregar a coxinha na cara da leticia colin, mas tá muito cedo ainda #QuemAmaCuida","a novela é do walcyr e eu já achei que o mendigo ia esfregar a coxinha na cara da leticia colin, mas tá muito cedo ainda",NEU,0.1012,0.2012,0.6976,4,0
2056545565282844709,18/05/2026,22:20,"Não aguento esse nome ""Klebinho"" pra um homi vei desse #QuemAmaCuida","Não aguento esse nome ""Klebinho"" pra um homi vei desse",POS,0.6804,0.0928,0.2267,1,1
2056545563324084653,18/05/2026,22:20,O vermelho bem cinematográfico #QuemAmaCuida,O vermelho bem cinematográfico,POS,0.869,0.0142,0.1168,3,0
2056545562669765011,18/05/2026,22:20,"ISABEL TEIXEIRAAAAA SUA LINDA 

#QuemAmaCuida  https://t.co/vH8U6l5lMS",ISABEL TEIXEIRAAAAA SUA LINDA,POS,0.9774,0.0072,0.0155,9,2
2056545562489500098,18/05/2026,22:20,A estética tá LINDA. O destaque no vermelho #QuemAmaCuida,A estética tá LINDA. O destaque no vermelho,POS,0.9878,0.0029,0.0093,0,0
2056545562342650128,18/05/2026,22:20,mds qual será o gancho do primeiro capítulo #QuemAmaCuida,mds qual será o gancho do primeiro capítulo,NEU,0.0238,0.1707,0.8055,0,0
2056545561977802919,18/05/2026,22:20,"Matei a academia pra ver a estreia da novela,  e to achando a coitada chatissima, queria outra atriz como a grande antagonista, Isabel de novo nao rola ... e Chay é muito canastrão pra "" mocinho "" #QuemAmaCuida","Matei a academia pra ver a estreia da novela, e to achando a coitada chatissima, queria outra atriz como a grande antagonista, Isabel de novo nao rola ... e Chay é muito canastrão pra "" mocinho """,NEG,0.004,0.989,0.0071,0,0
2056545556877484284,18/05/2026,22:20,Abertura de #QuemAmaCuida https://t.co/aR9Iecv1Rf,Abertura de,NEU,0.0302,0.0102,0.9596,8,0
2056545554541244801,18/05/2026,22:20,Não tô aguentando mais o chay o tempo todo nessa palestrinha #QuemAmaCuida,Não tô aguentando mais o chay o tempo todo nessa palestrinha,NEG,0.0056,0.9876,0.0068,2,0
